Source Node,Target Node,Pair Count,SNDomain,TNDomain,year
Distributed generation,PV,30,EPS-Source,EPS-Source,2000
fuel cell,PV,12,EPS-Source,EPS-Source,2000
microgrid,PV,58,EPS-Source,EPS-Source,2000
photovoltaic,PV,45,EPS-Source,EPS-Source,2000
power management,PV,18,EPS-Source,EPS-Source,2000
microgrid,DG,11,EPS-Source,EPS-Source,2000
Micro-Grid,MG,13,EPS-Source,EPS-Grid,2000
smart grid,DC,41,EPS-Source,EPS-Source,2000
Distributed generation,DC,13,EPS-Source,EPS-Source,2000
DC Micro-grid,DC,17,EPS-Source,EPS-Source,2000
Energy Management,DC,12,EPS-Source,EPS-Source,2000
DG,energy storage,21,EPS-Source,EPS-Source,2000
distributed generation,energy storage,15,EPS-Source,EPS-Source,2000
PV,energy storage,31,EPS-Source,EPS-Source,2000
photovoltaic,energy storage,11,EPS-Source,EPS-Source,2000
smart meter,energy storage,11,EPS-Source,EPS-Source,2000
Smart Grid,power quality,11,EPS-Source,EPS-Source,2000
Power Quality,power quality,37,EPS-Source,EPS-Source,2000
smart grid,DG,14,EPS-Source,EPS-Source,2000
microgrid,power management,15,EPS-Source,EPS-Source,2000
smart grid,smart grids,33,EPS-Source,EPS-Source,2000
Distributed Generation,DG,18,EPS-Source,EPS-Source,2000
Internet of Things,IoT,219,EPS-Source,IOT-App,2000
smart grid,power line,13,EPS-Source,EPS-Source,2000
Smart Grid,QoS,12,EPS-Source,EPS-Store,2000
Smart Grid,energy storage,28,EPS-Source,EPS-Source,2000
Renewable Energy,energy storage,14,EPS-Source,EPS-Source,2000
Smart grid,smart grids,48,EPS-Source,EPS-Source,2000
Smart grid,power quality,17,EPS-Source,EPS-Source,2000
harmonic losses,power quality,12,EPS-Source,EPS-Source,2000
K-factor,power quality,12,EPS-Source,EPS-Source,2000
load management and nonlinear transformer,power quality,12,EPS-Source,EPS-Source,2000
smart meters,smart meter,23,EPS-Source,EPS-Source,2000
demand response,DR,66,EPS-Source,EPS-Source,2000
smart grid,DR,35,EPS-Source,EPS-Source,2000
Demand Response,DR,25,EPS-Source,EPS-Source,2000
Smart Grid,DR,28,EPS-Source,EPS-Source,2000
Smart Meter,smart meter,16,EPS-Source,EPS-Source,2000
Power quality,power quality,17,EPS-Source,EPS-Source,2000
microgrid,DC,26,EPS-Source,EPS-Source,2000
distributed generation,DC,25,EPS-Source,EPS-Source,2000
